epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,408.804,1.17155,1.82636,3.71659,1.25699,0.71001,0.15011,0.13754,0.10314,0.71045,0.15103,0.13833,0.08743,1.01288,1.29879,1.80393,1.18394,0.00332928,0.00332928,0.00332928
2,812.196,1.05215,1.40113,2.17096,1.15296,0.54864,0.19371,0.18002,0.13402,0.54889,0.19341,0.17959,0.11368,1.02862,1.35713,1.74945,1.17335,0.00664942,0.00664942,0.00664942
3,1214.28,1.10563,1.44084,1.93286,1.17586,0.50871,0.20904,0.19741,0.14421,0.50819,0.209,0.19841,0.12611,1.08247,1.36536,1.69512,1.21314,0.00995637,0.00995637,0.00995637
4,1615.77,1.14009,1.48446,1.85281,1.20108,0.47194,0.22139,0.21989,0.16132,0.47331,0.22124,0.2201,0.13872,1.04855,1.30675,1.58211,1.19713,0.0099406,0.0099406,0.0099406
5,2020.47,1.09698,1.41391,1.71818,1.18149,0.49815,0.24236,0.23444,0.17222,0.49744,0.24305,0.23574,0.15165,1.03841,1.30703,1.56375,1.18871,0.0099208,0.0099208,0.0099208
6,2423.53,1.06752,1.36712,1.62811,1.16853,0.50211,0.26388,0.26174,0.19708,0.50821,0.26549,0.2624,0.17183,1.0014,1.23647,1.4359,1.16189,0.009901,0.009901,0.009901
7,2826.12,1.04091,1.32307,1.56647,1.15394,0.53287,0.2928,0.28603,0.21908,0.53516,0.29363,0.2871,0.19066,0.97039,1.21147,1.40374,1.15062,0.0098812,0.0098812,0.0098812
8,3230.89,1.02193,1.29688,1.51763,1.14469,0.54013,0.29568,0.30137,0.23094,0.54065,0.2953,0.30173,0.19727,0.95355,1.16999,1.32771,1.14221,0.0098614,0.0098614,0.0098614
9,3632.24,1.00496,1.26896,1.46608,1.13344,0.56153,0.30207,0.32579,0.25492,0.56288,0.30245,0.32831,0.21919,0.92511,1.13694,1.32065,1.12231,0.0098416,0.0098416,0.0098416
10,4036.94,0.99355,1.25713,1.44459,1.13006,0.56663,0.32417,0.34042,0.26539,0.56602,0.32456,0.34167,0.2288,0.9163,1.12614,1.27146,1.12442,0.0098218,0.0098218,0.0098218
11,4438.14,0.97713,1.22869,1.40348,1.11953,0.55751,0.3424,0.36913,0.28705,0.55898,0.34347,0.37016,0.2483,0.90877,1.08975,1.21535,1.11412,0.009802,0.009802,0.009802
12,4840.66,0.97052,1.22164,1.38587,1.11579,0.58763,0.36104,0.39351,0.30923,0.58745,0.36027,0.39318,0.26529,0.8794,1.0642,1.18991,1.09848,0.0097822,0.0097822,0.0097822
13,5241.07,0.95407,1.19753,1.34967,1.10742,0.5541,0.39085,0.4081,0.32229,0.54756,0.38868,0.4069,0.27156,0.87905,1.06945,1.17282,1.09854,0.0097624,0.0097624,0.0097624
14,5643.4,0.94949,1.19029,1.33048,1.10284,0.55488,0.38177,0.40632,0.32106,0.56826,0.38148,0.40563,0.27683,0.86787,1.04618,1.1268,1.08722,0.0097426,0.0097426,0.0097426
15,6044.71,0.9445,1.17709,1.31128,1.09907,0.58577,0.40097,0.4299,0.3428,0.58685,0.40112,0.42916,0.29081,0.8567,1.02277,1.11493,1.08778,0.0097228,0.0097228,0.0097228
16,6445.92,0.93169,1.15998,1.28057,1.09116,0.60314,0.39719,0.44108,0.35057,0.60919,0.39531,0.44082,0.2996,0.8473,1.01677,1.08906,1.08096,0.009703,0.009703,0.009703
17,6849.85,0.92538,1.14724,1.27074,1.09022,0.64598,0.40159,0.45675,0.37044,0.64664,0.40032,0.45642,0.31548,0.83194,1.01052,1.06819,1.07065,0.0096832,0.0096832,0.0096832
